Year,Year ending,Police Region,Local Government Area,Incidents Recorded,Rate,LGA
2021,June,2 Eastern,Total,84513,4963.679676,Total
2021,June,3 Southern Metro, Bayside,3667,3583.259232,Bayside
2021,June,3 Southern Metro, Cardinia,5498,4600.028447,Cardinia
2021,June,3 Southern Metro, Casey,15656,4237.616151,Casey
2021,June,3 Southern Metro, Frankston,9583,6805.672933,Frankston
2021,June,3 Southern Metro, Glen Eira,5696,3780.071009,Glen Eira
2021,June,3 Southern Metro, Greater Dandenong,13534,8449.719362,Greater Dandenong
2021,June,3 Southern Metro, Kingston,7649,4793.597674,Kingston
2021,June,3 Southern Metro, Mornington Peninsula,7011,4114.678091,Mornington Peninsula
2021,June,3 Southern Metro, Port Phillip,10290,9941.260579,Port Phillip
2021,June,3 Southern Metro, Stonnington,8870,8346.035868,Stonnington
2021,June,3 Southern Metro,Total,87454,5525.554441,Total
2021,June,4 Western, Ararat,1118,9457.744692,Ararat
2021,June,4 Western, Ballarat,7266,6402.777533,Ballarat
2021,June,4 Western, Buloke,214,3491.027732,Buloke
2021,June,4 Western, Campaspe,2429,6301.725256,Campaspe
2021,June,4 Western, Central Goldfields,780,5828.725153,Central Goldfields
2021,June,4 Western, Colac Otway,1122,5030.487805,Colac Otway
2021,June,4 Western, Corangamite,614,3830.557115,Corangamite
2021,June,4 Western, Gannawarra,625,5889.55899,Gannawarra
2021,June,4 Western, Glenelg,1063,5300.159553,Glenelg
2021,June,4 Western, Golden Plains,445,1788.6571,Golden Plains
2021,June,4 Western, Greater Bendigo,7980,6583.017794,Greater Bendigo
2021,June,4 Western, Greater Geelong,15165,5600.570213,Greater Geelong
2021,June,4 Western, Hepburn,460,2791.939791,Hepburn
2021,June,4 Western, Hindmarsh,313,5533.946252,Hindmarsh
2021,June,4 Western, Horsham,1434,7040.109971,Horsham
2021,June,4 Western, Loddon,428,5558.441558,Loddon
2021,June,4 Western, Macedon Ranges,1752,3396.928804,Macedon Ranges
2021,June,4 Western, Mildura,4229,7423.335498,Mildura
2021,June,4 Western, Moorabool,1987,5243.435809,Moorabool
2021,June,4 Western, Mount Alexander,697,3466.626878,Mount Alexander
2021,June,4 Western, Moyne,509,2943.727951,Moyne
2021,June,4 Western, Northern Grampians,894,7522.086664,Northern Grampians
2021,June,4 Western, Pyrenees,340,4466.044923,Pyrenees
2021,June,4 Western, Queenscliffe,78,2411.128284,Queenscliffe
2021,June,4 Western, Southern Grampians,782,4742.84328,Southern Grampians
2021,June,4 Western, Surf Coast,1173,3117.773702,Surf Coast
2021,June,4 Western, Swan Hill,1839,8600.28995,Swan Hill
2021,June,4 Western, Warrnambool,2239,6321.46588,Warrnambool
2021,June,4 Western, West Wimmera,120,3017.349761,West Wimmera
2021,June,4 Western, Yarriambiack,295,4530.794041,Yarriambiack
