Year,Local Government Area,Criminal Incident Rate,LGA
2020, Northern Grampians,"6,592.00",Northern Grampians
2020, Pyrenees,"4,820.70",Pyrenees
2020, Queenscliffe,"3,172.50",Queenscliffe
2020, Southern Grampians,"5,388.70",Southern Grampians
2020, Surf Coast,"2,953.20",Surf Coast
2020, Swan Hill,"8,182.70",Swan Hill
2020, Warrnambool,"6,773.60",Warrnambool
2020, West Wimmera,"3,435.30",West Wimmera
2020, Yarriambiack,"5,321.90",Yarriambiack
2019, Banyule,"5,394.00",Banyule
2019, Brimbank,"6,854.40",Brimbank
2019, Darebin,"7,104.10",Darebin
2019, Hobsons Bay,"5,083.30",Hobsons Bay
2019, Hume,"6,677.00",Hume
2019, Maribyrnong,"7,456.00",Maribyrnong
2019, Melbourne,"15,463.40",Melbourne
2019, Melton,"5,040.70",Melton
2019, Moonee Valley,"4,950.60",Moonee Valley
2019, Moreland,"6,131.00",Moreland
2019, Nillumbik,"2,613.30",Nillumbik
2019, Whittlesea,"5,271.80",Whittlesea
2019, Wyndham,"4,296.50",Wyndham
2019, Yarra,"11,387.20",Yarra
2019, Alpine,"3,197.80",Alpine
2019, Bass Coast,"4,841.90",Bass Coast
2019, Baw Baw,"6,179.40",Baw Baw
2019, Benalla,"6,463.20",Benalla
2019, Boroondara,"3,111.20",Boroondara
2019, East Gippsland,"6,835.30",East Gippsland
2019, Greater Shepparton,"9,158.90",Greater Shepparton
2019, Indigo,"2,431.90",Indigo
2019, Knox,"4,930.60",Knox
2019, Latrobe,"12,915.30",Latrobe
2019, Manningham,"2,772.40",Manningham
2019, Mansfield,"3,488.60",Mansfield
2019, Maroondah,"5,119.20",Maroondah
2019, Mitchell,"6,638.20",Mitchell
2019, Moira,"5,958.30",Moira
2019, Monash,"4,114.60",Monash
2019, Murrindindi,"3,872.50",Murrindindi
2019, South Gippsland,"3,797.60",South Gippsland
2019, Strathbogie,"4,406.10",Strathbogie
2019, Towong,"2,673.60",Towong
2019, Wangaratta,"5,751.10",Wangaratta
2019, Wellington,"6,748.10",Wellington
2019, Whitehorse,"3,686.70",Whitehorse
2019, Wodonga,"5,841.30",Wodonga
2019, Yarra Ranges,"3,662.40",Yarra Ranges
2019, Bayside,"3,615.20",Bayside
2019, Cardinia,"4,326.90",Cardinia
2019, Casey,"4,665.70",Casey
2019, Frankston,"7,581.50",Frankston
2019, Glen Eira,"3,301.50",Glen Eira
2019, Greater Dandenong,"8,647.10",Greater Dandenong
2019, Kingston,"5,377.80",Kingston
2019, Mornington Peninsula,"4,801.20",Mornington Peninsula
2019, Port Phillip,"8,634.00",Port Phillip
2019, Stonnington,"7,237.60",Stonnington
2019, Ararat,"7,223.80",Ararat
2019, Ballarat,"7,403.60",Ballarat
2019, Buloke,"3,296.00",Buloke
2019, Campaspe,"7,922.00",Campaspe
2019, Central Goldfields,"6,615.20",Central Goldfields
2019, Colac-Otway,"5,729.00",Colac-Otway
2019, Corangamite,"3,020.90",Corangamite
2019, Gannawarra,"6,133.30",Gannawarra
2019, Glenelg,"4,752.10",Glenelg
2019, Golden Plains,"1,972.40",Golden Plains
2019, Greater Bendigo,"7,084.40",Greater Bendigo
2019, Greater Geelong,"6,095.50",Greater Geelong
2019, Hepburn,"3,998.30",Hepburn
2019, Hindmarsh,"4,539.00",Hindmarsh
2019, Horsham,"6,805.10",Horsham
2019, Loddon,"4,947.50",Loddon
2019, Macedon Ranges,"3,581.00",Macedon Ranges
2019, Mildura,"9,423.50",Mildura
2019, Moorabool,"4,512.00",Moorabool
2019, Mount Alexander,"4,320.90",Mount Alexander
2019, Moyne,"2,862.70",Moyne
2019, Northern Grampians,"6,326.90",Northern Grampians
2019, Pyrenees,"5,297.10",Pyrenees
2019, Queenscliffe,"4,144.20",Queenscliffe
2019, Southern Grampians,"6,198.00",Southern Grampians
2019, Surf Coast,"2,698.70",Surf Coast
2019, Swan Hill,"8,622.10",Swan Hill
2019, Warrnambool,"8,368.50",Warrnambool
2019, West Wimmera,"3,623.60",West Wimmera
2019, Yarriambiack,"4,468.40",Yarriambiack
2018, Banyule,"5,631.90",Banyule
2018, Brimbank,"6,878.00",Brimbank
2018, Darebin,"7,273.30",Darebin
2018, Hobsons Bay,"5,072.60",Hobsons Bay
2018, Hume,"6,851.40",Hume
2018, Maribyrnong,"7,595.00",Maribyrnong
2018, Melbourne,"16,874.30",Melbourne
2018, Melton,"5,169.90",Melton
2018, Moonee Valley,"5,402.90",Moonee Valley
2018, Moreland,"6,301.50",Moreland
2018, Nillumbik,"2,676.30",Nillumbik
2018, Whittlesea,"5,248.20",Whittlesea
2018, Wyndham,"4,304.10",Wyndham
2018, Yarra,"11,428.10",Yarra
2018, Alpine,"2,725.10",Alpine
2018, Bass Coast,"4,555.90",Bass Coast
2018, Baw Baw,"5,714.60",Baw Baw
2018, Benalla,"6,716.20",Benalla
2018, Boroondara,"3,135.10",Boroondara
2018, East Gippsland,"6,791.90",East Gippsland
2018, Greater Shepparton,"9,033.30",Greater Shepparton
2018, Indigo,"1,843.60",Indigo
2018, Knox,"5,210.70",Knox
2018, Latrobe,"12,768.70",Latrobe
2018, Manningham,"2,897.70",Manningham
2018, Mansfield,"4,211.30",Mansfield
2018, Maroondah,"4,992.60",Maroondah
2018, Mitchell,"6,910.50",Mitchell
2018, Moira,"4,946.30",Moira
2018, Monash,"4,234.50",Monash
2018, Murrindindi,"3,869.90",Murrindindi
2018, South Gippsland,"3,195.10",South Gippsland
2018, Strathbogie,"4,158.90",Strathbogie
2018, Towong,"2,724.00",Towong
2018, Wangaratta,"5,974.50",Wangaratta
2018, Wellington,"6,170.90",Wellington
2018, Whitehorse,"3,673.50",Whitehorse
2018, Wodonga,"5,759.20",Wodonga
2018, Yarra Ranges,"3,530.80",Yarra Ranges
2018, Bayside,"3,714.20",Bayside
2018, Cardinia,"4,113.60",Cardinia
2018, Casey,"4,409.60",Casey
2018, Frankston,"7,844.90",Frankston
2018, Glen Eira,"3,323.90",Glen Eira
2018, Greater Dandenong,"8,424.20",Greater Dandenong
2018, Kingston,"4,958.50",Kingston
2018, Mornington Peninsula,"5,028.40",Mornington Peninsula
2018, Port Phillip,"8,766.10",Port Phillip
2018, Stonnington,"7,218.00",Stonnington
2018, Ararat,"7,505.10",Ararat
2018, Ballarat,"8,054.50",Ballarat
2018, Buloke,"2,963.90",Buloke
2018, Campaspe,"6,744.40",Campaspe
2018, Central Goldfields,"7,456.60",Central Goldfields
2018, Colac-Otway,"5,824.60",Colac-Otway
2018, Corangamite,"3,656.40",Corangamite
2018, Gannawarra,"3,993.60",Gannawarra
2018, Glenelg,"5,574.30",Glenelg
2018, Golden Plains,"2,175.50",Golden Plains
2018, Greater Bendigo,"6,148.70",Greater Bendigo
2018, Greater Geelong,"6,386.20",Greater Geelong
2018, Hepburn,"4,041.50",Hepburn
2018, Hindmarsh,"4,220.90",Hindmarsh
2018, Horsham,"8,181.60",Horsham
2018, Loddon,"4,437.10",Loddon
2018, Macedon Ranges,"3,059.60",Macedon Ranges
2018, Mildura,"9,089.10",Mildura
2018, Moorabool,"5,027.40",Moorabool
2018, Mount Alexander,"3,423.80",Mount Alexander
2018, Moyne,"2,529.30",Moyne
2018, Northern Grampians,"6,641.40",Northern Grampians
2018, Pyrenees,"4,453.60",Pyrenees
2018, Queenscliffe,"3,185.40",Queenscliffe
2018, Southern Grampians,"6,678.50",Southern Grampians
2018, Surf Coast,"2,723.50",Surf Coast
2018, Swan Hill,"8,349.00",Swan Hill
2018, Warrnambool,"7,772.10",Warrnambool
2018, West Wimmera,"2,877.30",West Wimmera
2018, Yarriambiack,"5,184.50",Yarriambiack
2017, Banyule,"5,830.40",Banyule
2017, Brimbank,"6,754.20",Brimbank
2017, Darebin,"8,119.50",Darebin
2017, Hobsons Bay,"5,409.40",Hobsons Bay
2017, Hume,"7,518.80",Hume
2017, Maribyrnong,"7,705.20",Maribyrnong
2017, Melbourne,"17,351.90",Melbourne
2017, Melton,"5,765.10",Melton
2017, Moonee Valley,"6,018.50",Moonee Valley
2017, Moreland,"6,509.40",Moreland
2017, Nillumbik,"3,250.70",Nillumbik
2017, Whittlesea,"5,697.90",Whittlesea
2017, Wyndham,"4,742.50",Wyndham
2017, Yarra,"11,782.10",Yarra
2017,WWWWWWWWWWWWWWWWW,"7,288.30",WWWWWWWWWWWWWWWWW
2017, Alpine,"2,200.50",Alpine
2017, Bass Coast,"5,900.50",Bass Coast
2017, Baw Baw,"5,569.10",Baw Baw
2017, Benalla,"6,993.80",Benalla
2017, Boroondara,"3,790.80",Boroondara
2017, East Gippsland,"6,319.30",East Gippsland
2017, Greater Shepparton,"9,345.80",Greater Shepparton
2017, Indigo,"2,246.20",Indigo
2017, Knox,"5,680.30",Knox
2017, Latrobe,"13,288.80",Latrobe
2017, Manningham,"3,259.40",Manningham
2017, Mansfield,"5,691.10",Mansfield
2017, Maroondah,"5,825.00",Maroondah
2017, Mitchell,"6,959.40",Mitchell
2017, Moira,"4,946.30",Moira
2017, Monash,"4,567.80",Monash
2017, Murrindindi,"3,598.90",Murrindindi
2017, South Gippsland,"3,976.70",South Gippsland
2017, Strathbogie,"4,303.20",Strathbogie
2017, Towong,"2,854.80",Towong
2017, Wangaratta,"6,441.80",Wangaratta
2017, Wellington,"7,026.40",Wellington
2017, Whitehorse,"3,965.40",Whitehorse
2017, Wodonga,"6,154.90",Wodonga
2017, Yarra Ranges,"3,934.30",Yarra Ranges
2017, Bayside,"3,867.90",Bayside
2017, Cardinia,"4,899.10",Cardinia
2017, Casey,"5,303.00",Casey
2017, Frankston,"8,468.40",Frankston
2017, Glen Eira,"3,848.10",Glen Eira
2017, Greater Dandenong,"9,135.20",Greater Dandenong
2017, Kingston,"5,174.00",Kingston
2017, Mornington Peninsula,"5,445.30",Mornington Peninsula
2017, Port Phillip,"9,405.60",Port Phillip
2017, Stonnington,"7,735.80",Stonnington
2017, Ararat,"8,015.30",Ararat
2017, Ballarat,"8,812.50",Ballarat
2017, Buloke,"2,203.30",Buloke
2017, Campaspe,"7,096.30",Campaspe
2017, Central Goldfields,"6,541.30",Central Goldfields
2017, Colac-Otway,"7,505.20",Colac-Otway
2017, Corangamite,"5,027.00",Corangamite
2017, Gannawarra,"5,010.90",Gannawarra
2017, Glenelg,"6,825.60",Glenelg
2017, Golden Plains,"2,393.80",Golden Plains
2017, Greater Bendigo,"6,889.50",Greater Bendigo
2017, Greater Geelong,"7,241.20",Greater Geelong
2017, Hepburn,"4,363.60",Hepburn
2017, Hindmarsh,"4,995.60",Hindmarsh
2017, Horsham,"8,514.00",Horsham
2017, Loddon,"4,626.60",Loddon
2017, Macedon Ranges,"3,490.50",Macedon Ranges
2017, Mildura,"9,294.40",Mildura
2017, Moorabool,"5,975.50",Moorabool
2017, Mount Alexander,"4,490.10",Mount Alexander
2017, Moyne,"3,124.40",Moyne
2017, Northern Grampians,"7,957.90",Northern Grampians
2017, Pyrenees,"4,918.00",Pyrenees
2017, Queenscliffe,"4,587.50",Queenscliffe
2017, Southern Grampians,"6,290.50",Southern Grampians
2017, Surf Coast,"3,548.40",Surf Coast
2017, Swan Hill,"8,400.20",Swan Hill
2017, Warrnambool,"7,889.60",Warrnambool
2017, West Wimmera,"3,391.50",West Wimmera
2017, Yarriambiack,"5,220.00",Yarriambiack
2016, Banyule,"5,684.70",Banyule
2016, Brimbank,"7,493.50",Brimbank
2016, Darebin,"8,036.70",Darebin
2016, Hobsons Bay,"5,847.30",Hobsons Bay
2016, Hume,"7,851.10",Hume
2016, Maribyrnong,"8,513.70",Maribyrnong
2016, Melbourne,"18,171.60",Melbourne
2016, Melton,"6,353.40",Melton
2016, Moonee Valley,"5,962.40",Moonee Valley
