Year,Year ending,Age Group,Sex,Harm Caused Flag,Victim Reports
2021,June,60-64,People,Low Harm,6289
2021,June,60-64,People,Medium Harm,1737
2021,June,65-69,Females,High Harm,200
2021,June,65-69,Females,Low Harm,1740
2021,June,65-69,Females,Medium Harm,485
2021,June,65-69,Males,High Harm,265
2021,June,65-69,Males,Low Harm,2722
2021,June,65-69,Males,Medium Harm,658
2021,June,65-69,People,High Harm,465
2021,June,65-69,People,Low Harm,4462
2021,June,65-69,People,Medium Harm,1143
2021,June,70-74,Females,High Harm,117
2021,June,70-74,Females,Low Harm,1248
2021,June,70-74,Females,Medium Harm,288
2021,June,70-74,Males,High Harm,197
2021,June,70-74,Males,Low Harm,1851
2021,June,70-74,Males,Medium Harm,450
2021,June,70-74,People,High Harm,314
2021,June,70-74,People,Low Harm,3099
2021,June,70-74,People,Medium Harm,738
2021,June,75+,Females,High Harm,238
2021,June,75+,Females,Low Harm,1791
2021,June,75+,Females,Medium Harm,431
2021,June,75+,Males,High Harm,196
2021,June,75+,Males,Low Harm,2112
2021,June,75+,Males,Medium Harm,490
2021,June,75+,People,High Harm,434
2021,June,75+,People,Low Harm,3903
2021,June,75+,People,Medium Harm,921
2021,June,Total,Females,High Harm,17157
2021,June,Total,Females,Low Harm,49433
2021,June,Total,Females,Medium Harm,24535
2021,June,Total,Males,High Harm,15072
2021,June,Total,Males,Low Harm,68042
2021,June,Total,Males,Medium Harm,23015
2021,June,Total,People,High Harm,32425
2021,June,Total,People,Low Harm,120109
2021,June,Total,People,Medium Harm,48074
2020,June,0-4,Females,High Harm,159
2020,June,0-4,Females,Low Harm,35
2020,June,0-4,Females,Medium Harm,115
2020,June,0-4,Males,High Harm,139
2020,June,0-4,Males,Low Harm,44
2020,June,0-4,Males,Medium Harm,191
2020,June,0-4,People,High Harm,299
2020,June,0-4,People,Low Harm,79
2020,June,0-4,People,Medium Harm,307
2020,June,5-9,Females,High Harm,378
2020,June,5-9,Females,Low Harm,33
2020,June,5-9,Females,Medium Harm,231
2020,June,5-9,Males,High Harm,251
2020,June,5-9,Males,Low Harm,29
2020,June,5-9,Males,Medium Harm,324
2020,June,5-9,People,High Harm,630
2020,June,5-9,People,Low Harm,62
2020,June,5-9,People,Medium Harm,555
2020,June,10-14,Females,High Harm,1168
2020,June,10-14,Females,Low Harm,216
2020,June,10-14,Females,Medium Harm,759
2020,June,10-14,Males,High Harm,799
2020,June,10-14,Males,Low Harm,496
2020,June,10-14,Males,Medium Harm,834
2020,June,10-14,People,High Harm,1967
2020,June,10-14,People,Low Harm,712
2020,June,10-14,People,Medium Harm,1594
2020,June,15-17,Females,High Harm,1569
2020,June,15-17,Females,Low Harm,519
2020,June,15-17,Females,Medium Harm,954
2020,June,15-17,Males,High Harm,1207
2020,June,15-17,Males,Low Harm,877
2020,June,15-17,Males,Medium Harm,909
2020,June,15-17,People,High Harm,2776
2020,June,15-17,People,Low Harm,1396
2020,June,15-17,People,Medium Harm,1863
2020,June,18-19,Females,High Harm,896
2020,June,18-19,Females,Low Harm,1305
2020,June,18-19,Females,Medium Harm,889
2020,June,18-19,Males,High Harm,696
2020,June,18-19,Males,Low Harm,1675
2020,June,18-19,Males,Medium Harm,817
2020,June,18-19,People,High Harm,1592
2020,June,18-19,People,Low Harm,2981
2020,June,18-19,People,Medium Harm,1707
2020,June,20-24,Females,High Harm,2251
2020,June,20-24,Females,Low Harm,5997
2020,June,20-24,Females,Medium Harm,2905
2020,June,20-24,Males,High Harm,1915
2020,June,20-24,Males,Low Harm,7688
2020,June,20-24,Males,Medium Harm,2752
2020,June,20-24,People,High Harm,4166
2020,June,20-24,People,Low Harm,13690
2020,June,20-24,People,Medium Harm,5657
2020,June,25-29,Females,High Harm,2352
2020,June,25-29,Females,Low Harm,7663
2020,June,25-29,Females,Medium Harm,3358
2020,June,25-29,Males,High Harm,2210
2020,June,25-29,Males,Low Harm,10297
2020,June,25-29,Males,Medium Harm,3121
2020,June,25-29,People,High Harm,4562
2020,June,25-29,People,Low Harm,17966
2020,June,25-29,People,Medium Harm,6479
2020,June,30-34,Females,High Harm,1965
2020,June,30-34,Females,Low Harm,7373
2020,June,30-34,Females,Medium Harm,3184
2020,June,30-34,Males,High Harm,1908
2020,June,30-34,Males,Low Harm,10318
2020,June,30-34,Males,Medium Harm,2795
2020,June,30-34,People,High Harm,3873
2020,June,30-34,People,Low Harm,17694
2020,June,30-34,People,Medium Harm,5979
2020,June,35-39,Females,High Harm,1643
2020,June,35-39,Females,Low Harm,6554
2020,June,35-39,Females,Medium Harm,2837
2020,June,35-39,Males,High Harm,1670
2020,June,35-39,Males,Low Harm,9514
2020,June,35-39,Males,Medium Harm,2476
2020,June,35-39,People,High Harm,3313
2020,June,35-39,People,Low Harm,16069
2020,June,35-39,People,Medium Harm,5313
2020,June,40-44,Females,High Harm,1262
2020,June,40-44,Females,Low Harm,5823
2020,June,40-44,Females,Medium Harm,2337
2020,June,40-44,Males,High Harm,1357
2020,June,40-44,Males,Low Harm,7637
2020,June,40-44,Males,Medium Harm,2039
2020,June,40-44,People,High Harm,2619
2020,June,40-44,People,Low Harm,13461
2020,June,40-44,People,Medium Harm,4376
2020,June,45-49,Females,High Harm,1190
2020,June,45-49,Females,Low Harm,5904
2020,June,45-49,Females,Medium Harm,2184
2020,June,45-49,Males,High Harm,1307
2020,June,45-49,Males,Low Harm,7680
2020,June,45-49,Males,Medium Harm,2083
2020,June,45-49,People,High Harm,2497
2020,June,45-49,People,Low Harm,13585
2020,June,45-49,People,Medium Harm,4267
2020,June,50-54,Females,High Harm,784
2020,June,50-54,Females,Low Harm,4921
2020,June,50-54,Females,Medium Harm,1591
2020,June,50-54,Males,High Harm,992
2020,June,50-54,Males,Low Harm,6722
2020,June,50-54,Males,Medium Harm,1854
2020,June,50-54,People,High Harm,1776
2020,June,50-54,People,Low Harm,11644
2020,June,50-54,People,Medium Harm,3445
2020,June,55-59,Females,High Harm,525
2020,June,55-59,Females,Low Harm,3988
2020,June,55-59,Females,Medium Harm,1139
2020,June,55-59,Males,High Harm,734
2020,June,55-59,Males,Low Harm,5696
2020,June,55-59,Males,Medium Harm,1489
2020,June,55-59,People,High Harm,1259
2020,June,55-59,People,Low Harm,9685
2020,June,55-59,People,Medium Harm,2628
