Year,Year ending,Police Region,Local Government Area,Family Incidents,Rate
2020,June,1 North West Metro, Nillumbik,512.00,797.05
2020,June,1 North West Metro, Whittlesea,3328.00,1442.58
2020,June,1 North West Metro, Wyndham,3423.00,1193.53
2020,June,1 North West Metro, Yarra,1139.00,1179.74
2020,June,1 North West Metro,Total,28591.00,1272.20
2020,June,2 Eastern, Alpine,122.00,936.44
2020,June,2 Eastern, Bass Coast,738.00,1898.69
2020,June,2 Eastern, Baw Baw,788.00,1416.07
2020,June,2 Eastern, Benalla,387.00,2695.36
2020,June,2 Eastern, Boroondara,950.00,534.54
2020,June,2 Eastern, East Gippsland,1539.00,3220.34
2020,June,2 Eastern, Greater Shepparton,1611.00,2356.02
2020,June,2 Eastern, Indigo,159.00,930.42
2020,June,2 Eastern, Knox,1911.00,1172.24
2020,June,2 Eastern, Latrobe,2389.00,3119.45
2020,June,2 Eastern, Manningham,764.00,597.73
2020,June,2 Eastern, Mansfield,109.00,1115.43
2020,June,2 Eastern, Maroondah,1306.00,1105.51
2020,June,2 Eastern, Mitchell,1092.00,2275.76
2020,June,2 Eastern, Moira,457.00,1511.04
2020,June,2 Eastern, Monash,1446.00,720.69
2020,June,2 Eastern, Murrindindi,191.00,1286.46
2020,June,2 Eastern, South Gippsland,408.00,1350.01
2020,June,2 Eastern, Strathbogie,152.00,1364.57
2020,June,2 Eastern, Towong,44.00,714.29
2020,June,2 Eastern, Wangaratta,582.00,1975.02
2020,June,2 Eastern, Wellington,1411.00,3133.54
2020,June,2 Eastern, Whitehorse,1301.00,736.60
2020,June,2 Eastern, Wodonga,837.00,1965.34
2020,June,2 Eastern, Yarra Ranges,1791.00,1128.85
2020,June,2 Eastern,Total,22485.00,1305.89
2020,June,3 Southern Metro, Bayside,709.00,676.00
2020,June,3 Southern Metro, Cardinia,1526.00,1312.10
2020,June,3 Southern Metro, Casey,5053.00,1390.52
2020,June,3 Southern Metro, Frankston,2726.00,1919.93
2020,June,3 Southern Metro, Glen Eira,1043.00,675.16
2020,June,3 Southern Metro, Greater Dandenong,2778.00,1678.77
2020,June,3 Southern Metro, Kingston,1693.00,1038.77
2020,June,3 Southern Metro, Mornington Peninsula,2211.00,1301.25
2020,June,3 Southern Metro, Port Phillip,1353.00,1224.66
2020,June,3 Southern Metro, Stonnington,1040.00,924.25
2020,June,3 Southern Metro,Total,20132.00,1256.35
2020,June,4 Western, Ararat,298.00,2505.04
2020,June,4 Western, Ballarat,1960.00,1758.23
2020,June,4 Western, Buloke,55.00,894.89
2020,June,4 Western, Campaspe,728.00,1899.94
2020,June,4 Western, Central Goldfields,377.00,2838.43
2020,June,4 Western, Colac-Otway,377.00,1695.30
2020,June,4 Western, Corangamite,156.00,969.85
2020,June,4 Western, Gannawarra,202.00,1913.24
2020,June,4 Western, Glenelg,365.00,1822.63
2020,June,4 Western, Golden Plains,139.00,571.50
2020,June,4 Western, Greater Bendigo,2040.00,1703.53
2020,June,4 Western, Greater Geelong,3993.00,1503.69
2020,June,4 Western, Hepburn,185.00,1134.27
2020,June,4 Western, Hindmarsh,56.00,989.40
2020,June,4 Western, Horsham,550.00,2702.57
2020,June,4 Western, Loddon,105.00,1373.63
2020,June,4 Western, Macedon Ranges,466.00,917.21
2020,June,4 Western, Mildura,1672.00,2920.17
2020,June,4 Western, Moorabool,480.00,1301.45
2020,June,4 Western, Mount Alexander,190.00,954.49
2020,June,4 Western, Moyne,170.00,996.25
2020,June,4 Western, Northern Grampians,238.00,2019.17
2020,June,4 Western, Pyrenees,93.00,1235.06
2020,June,4 Western, Queenscliffe,15.00,485.59
2020,June,4 Western, Southern Grampians,265.00,1608.11
2020,June,4 Western, Surf Coast,288.00,805.41
2020,June,4 Western, Swan Hill,603.00,2808.31
2020,June,4 Western, Warrnambool,615.00,1739.35
2020,June,4 Western, West Wimmera,35.00,877.63
2020,June,4 Western, Yarriambiack,114.00,1718.68
2020,June,4 Western,Total,16830.00,1628.26
2020,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,153.00,
2020,June,Justice Institutions and Immigration Facilities,Total,153.00,
2020,June,Unincorporated Vic, Unincorporated Vic,9.00,
2020,June,Unincorporated Vic,Total,9.00,
2019,June,1 North West Metro, Banyule,1279.00,980.24
2019,June,1 North West Metro, Brimbank,2821.00,1365.37
2019,June,1 North West Metro, Darebin,1817.00,1156.13
2019,June,1 North West Metro, Hobsons Bay,1086.00,1134.49
2019,June,1 North West Metro, Hume,3821.00,1625.33
2019,June,1 North West Metro, Maribyrnong,939.00,1050.59
2019,June,1 North West Metro, Melbourne,1550.00,916.50
2019,June,1 North West Metro, Melton,2341.00,1416.26
2019,June,1 North West Metro, Moonee Valley,1156.00,915.38
2019,June,1 North West Metro, Moreland,2055.00,1146.96
2019,June,1 North West Metro, Nillumbik,476.00,739.11
2019,June,1 North West Metro, Whittlesea,3141.00,1390.90
2019,June,1 North West Metro, Wyndham,3246.00,1189.66
2019,June,1 North West Metro, Yarra,1065.00,1104.10
2019,June,1 North West Metro,Total,26793.00,1210.24
2019,June,2 Eastern, Alpine,135.00,1047.81
2019,June,2 Eastern, Bass Coast,628.00,1679.95
2019,June,2 Eastern, Baw Baw,846.00,1567.54
2019,June,2 Eastern, Benalla,305.00,2145.02
2019,June,2 Eastern, Boroondara,852.00,474.53
2019,June,2 Eastern, East Gippsland,1636.00,3451.40
2019,June,2 Eastern, Greater Shepparton,1703.00,2516.96
2019,June,2 Eastern, Indigo,123.00,729.58
2019,June,2 Eastern, Knox,1720.00,1054.29
2019,June,2 Eastern, Latrobe,2614.00,3438.30
2019,June,2 Eastern, Manningham,716.00,564.90
2019,June,2 Eastern, Mansfield,105.00,1116.78
2019,June,2 Eastern, Maroondah,1155.00,980.06
2019,June,2 Eastern, Mitchell,1059.00,2286.86
2019,June,2 Eastern, Moira,468.00,1556.94
2019,June,2 Eastern, Monash,1406.00,704.21
2019,June,2 Eastern, Murrindindi,183.00,1243.29
2019,June,2 Eastern, South Gippsland,392.00,1311.61
2019,June,2 Eastern, Strathbogie,168.00,1542.13
2019,June,2 Eastern, Towong,62.00,1010.76
2019,June,2 Eastern, Wangaratta,464.00,1578.07
2019,June,2 Eastern, Wellington,1245.00,2790.23
2019,June,2 Eastern, Whitehorse,1190.00,677.14
2019,June,2 Eastern, Wodonga,868.00,2065.29
2019,June,2 Eastern, Yarra Ranges,1604.00,1011.44
2019,June,2 Eastern,Total,21647.00,1265.08
2019,June,3 Southern Metro, Bayside,709.00,675.05
2019,June,3 Southern Metro, Cardinia,1317.00,1177.38
2019,June,3 Southern Metro, Casey,4660.00,1325.42
2019,June,3 Southern Metro, Frankston,2380.00,1678.20
2019,June,3 Southern Metro, Glen Eira,861.00,559.79
2019,June,3 Southern Metro, Greater Dandenong,2387.00,1436.47
2019,June,3 Southern Metro, Kingston,1578.00,967.96
2019,June,3 Southern Metro, Mornington Peninsula,1892.00,1123.56
2019,June,3 Southern Metro, Port Phillip,1275.00,1141.35
2019,June,3 Southern Metro, Stonnington,839.00,737.65
2019,June,3 Southern Metro,Total,17898.00,1127.69
2019,June,4 Western, Ararat,263.00,2224.67
2019,June,4 Western, Ballarat,1767.00,1611.49
2019,June,4 Western, Buloke,56.00,909.24
2019,June,4 Western, Campaspe,705.00,1851.17
2019,June,4 Western, Central Goldfields,405.00,3037.58
2019,June,4 Western, Colac-Otway,410.00,1862.71
2019,June,4 Western, Corangamite,139.00,860.47
2019,June,4 Western, Gannawarra,273.00,2587.92
2019,June,4 Western, Glenelg,314.00,1572.36
2019,June,4 Western, Golden Plains,162.00,681.30
2019,June,4 Western, Greater Bendigo,1914.00,1621.17
2019,June,4 Western, Greater Geelong,3513.00,1352.30
2019,June,4 Western, Hepburn,185.00,1150.35
2019,June,4 Western, Hindmarsh,86.00,1518.90
2019,June,4 Western, Horsham,459.00,2274.98
2019,June,4 Western, Loddon,120.00,1574.80
